id,movie_name,movie_path,level,option-1,option-2,option-3
1,wall_E,79_wall_e3__880.jpg,easy,Elio,onward,Robots
2,Beautiful Mind,bm__880.jpg,easy,Cinderella man,L.A. Confidential ,Mystic River
3,Brokeback Mountain,Brokeback-Mountain-Gallery-2__880.jpg,easy,Boys Don't Cry,Monster,Outer Range
4,Fight club,epic-movie-scenes-screenshots-101__880.png,medium,Malèna,Sweeny tod,Dark Shadows
5,Perfume,epic-movie-scenes-screenshots-102__880.jpg,medium,Loft,Skin I live in,Regression
6,Shining,epic-movie-scenes-screenshots-103__880.jpg,easy,Red room ,Sininster,The visit
7,Big fish,epic-movie-scenes-screenshots-107__880.jpg,easy,Broken Flowers,Blue Jasmine,Magnolia
8,Seven,epic-movie-scenes-screenshots-1101__880.jpg,medium,Nocturnal Animals, Bone Collector,Zodiac
9,"""300""",epic-movie-scenes-screenshots-110__880.jpg,easy,Sparta,Meet the spartans,Imortals
10,Truman Show,epic-movie-scenes-screenshots-111__880.jpg,easy,Bruce Almighty,Yes man,Liar Liar
11,Sin city,epic-movie-scenes-screenshots-11__880.jpg,easy,Brick,Dark sity,Planet terror
12,The Day After Tomorrow,epic-movie-scenes-screenshots-120__880.jpg,medium,Geostorm,2012,Poseidon
13,Fountain,epic-movie-scenes-screenshots-121__880.jpg,hard,The Illusionist,Big Eyes,Stay
14,"""2001"" Odyssey",epic-movie-scenes-screenshots-122__880.jpg,easy,Gravity,Passenger,The Expanse
15,Eternal sunshine,epic-movie-scenes-screenshots-123__880.jpg,easy,Dumb and dumber,,
16,Saving PR,epic-movie-scenes-screenshots-125__880.jpg,medium,War of the world,,
17,American beauty,epic-movie-scenes-screenshots-127__880.jpg,easy,beautiful Woman,,
18,Shining,epic-movie-scenes-screenshots-129__880.jpg,easy,Red room ,,
19,Inception,epic-movie-scenes-screenshots-130__880.jpg,easy,Blac panter,Goust rider,"""007"""
20,Sweeney Todd,epic-movie-scenes-screenshots-1321__880.jpg,medium,Edvard sisor hand,Jeanne du Barry,Tourist
21,Batman D.N,epic-movie-scenes-screenshots-15__880.jpg,easy,Batman begins,Joker,Batman vs superman
22,Prestige,epic-movie-scenes-screenshots-18__880.jpg,easy,The Illusionist,Tesla,In Bruges
23,Thor,epic-movie-scenes-screenshots-19__880.jpg,easy,Star Wars,Dune,Alien
24,Silence Of The Lambs,epic-movie-scenes-screenshots-24__880.jpg,easy,Hanibal,Fracture,Red dragon
25,C.C. Benjamin Button,epic-movie-scenes-screenshots-27__880.jpg,hard,Pride & Prejudice,Denial ,Atonement
26,Kill bill,epic-movie-scenes-screenshots-28__880.jpg,easy,Ninja,Old boy,Snake Eyes
27,Memoirs Of A Geisha,epic-movie-scenes-screenshots-29__880.jpg,hard,Seven Samurai,last Samurai,Cold Fish
28,Brave Heart,epic-movie-scenes-screenshots-31__880.jpg,medium,last Samurai,King Arthur,The Last Legion
29,True Grit,epic-movie-scenes-screenshots-39__880.jpg,easy,Hateful Eight,The Revenant,Slow West
30,Matrix 1,epic-movie-scenes-screenshots-43__880.jpg,easy,Matrix II,Matrix III,Matrix IV
31,The Millers,epic-movie-scenes-screenshots-44__880.jpg,easy,Murder Mystery,Just go with it,Good Girl
32,Breakfast At Tiffany's,epic-movie-scenes-screenshots-49__880.jpg,hard,Gone with the Wind,12 Angry Men,Birds
33,Avatar,epic-movie-scenes-screenshots-4__880.jpg,easy,Batman begins,Joker,Batman vs superman
34,Et ,epic-movie-scenes-screenshots-51__880.jpg,easy,The Illusionist,Tesla,In Bruges
35,Lord of the ring,epic-movie-scenes-screenshots-58__880.jpg,easy,Star Wars,Dune,Alien
36,interstalar,epic-movie-scenes-screenshots-59__880.jpg,easy,Hanibal,Fracture,Red dragon
37,Gravity,epic-movie-scenes-screenshots-64__880.jpg,easy,Pride & Prejudice,Denial ,Atonement
38,Shawshank Redemption,epic-movie-scenes-screenshots-71__880.jpg,medium,Ninja,Old boy,Snake Eyes
39,Life of pi,epic-movie-scenes-screenshots-73__880.jpg,medium,Seven Samurai,last Samurai,Cold Fish
40,Pulp Fiction,epic-movie-scenes-screenshots-74__880.jpg,easy,last Samurai,King Arthur,The Last Legion
41,Shindler's List,epic-movie-scenes-screenshots-75__880.png,medium,Hateful Eight,The Revenant,Slow West
42,Habit,epic-movie-scenes-screenshots-771__880.jpg,easy,Matrix II,Matrix III,Matrix IV
43,Grand Budapest Hotel,epic-movie-scenes-screenshots-77__880.jpg,easy,Murder Mystery,Just go with it,Good Girl
44,Alice in the wonderland,epic-movie-scenes-screenshots-82__880.jpg,easy,Gone with the Wind,12 Angry Men,Birds
45,Into The Wild,epic-movie-scenes-screenshots-83__880.jpeg,medium,Batman begins,Joker,Batman vs superman
47,Harry potter,epic-movie-scenes-screenshots-88__880.jpg,easy,The Illusionist,Tesla,In Bruges
49,Inception,epic-movie-scenes-screenshots-8__880.jpg,hard,Star Wars,Dune,Alien
51,Pan's Labyrinth,epic-movie-scenes-screenshots-93__880.jpg,hard,Hanibal,Fracture,Red dragon
52,V for vendetta,epic-movie-scenes-screenshots-94__880.jpg,easy,Pride & Prejudice,Denial ,Atonement
54,Up,maxresdefault-12__880.jpg,easy,Ninja,Old boy,Snake Eyes
